시도명,시군구명,total,현재,5년후,10년후,15년후,20년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율,15년후_고령인구비율,20년후_고령인구비율
충청북도,보은군,31800,15663,18801,21228,22957,24335,49.25,59.12,66.75,72.19,76.53
충청북도,영동군,45536,20844,25174,28866,31660,33767,45.77,55.28,63.39,69.53,74.15
충청북도,옥천군,49887,21543,26103,30243,33530,36245,43.18,52.32,60.62,67.21,72.65
충청북도,음성군,92155,30762,39623,48143,55255,61507,33.38,43.00,52.24,59.96,66.74
충청북도,제천시,132416,44916,56453,68246,77695,85787,33.92,42.63,51.54,58.67,64.79
충청북도,증평군,36822,10041,12984,16149,18977,21713,27.27,35.26,43.86,51.54,58.97
충청북도,진천군,85596,21448,28213,35394,42197,49319,25.06,32.96,41.35,49.30,57.62
충청북도,청주시 상당구,194484,47384,63360,80735,96590,111400,24.36,32.58,41.51,49.66,57.28
충청북도,청주시 서원구,192916,47577,63455,81340,97271,110842,24.66,32.89,42.16,50.42,57.46
충청북도,청주시 청원구,194176,39750,52654,67499,83166,100199,20.47,27.12,34.76,42.83,51.60
충청북도,청주시 흥덕구,267299,50571,70523,93560,115272,136958,18.92,26.38,35.00,43.12,51.24
충청북도,충주시,208946,64348,82554,101144,117038,131303,30.80,39.51,48.41,56.01,62.84
