시도명,시군구명,행정동명,total,현재,5년후,10년후,15년후,20년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율,15년후_고령인구비율,20년후_고령인구비율
서울특별시,강북구,수유1동,20538,6366,8103,9860,11276,12687,31.00,39.45,48.01,54.90,61.77
서울특별시,강북구,수유2동,21180,6901,8696,10608,12189,13532,32.58,41.06,50.08,57.55,63.89
서울특별시,강북구,수유3동,23046,6681,8580,10635,12241,13733,28.99,37.23,46.15,53.12,59.59
서울특별시,강북구,우이동,20443,6726,8398,10261,11715,13078,32.90,41.08,50.19,57.31,63.97
서울특별시,강북구,인수동,30185,9916,12469,15139,17294,19304,32.85,41.31,50.15,57.29,63.95
서울특별시,도봉구,창제1동,24603,6698,8626,10932,12945,14778,27.22,35.06,44.43,52.62,60.07
서울특별시,도봉구,창제2동,28979,7827,10273,12905,15179,17307,27.01,35.45,44.53,52.38,59.72
서울특별시,도봉구,창제3동,13775,4279,5501,6795,7859,8838,31.06,39.93,49.33,57.05,64.16
서울특별시,도봉구,창제4동,26413,6605,8869,11409,13602,15598,25.01,33.58,43.19,51.50,59.05
서울특별시,도봉구,창제5동,24475,6651,8772,10960,12721,14335,27.17,35.84,44.78,51.98,58.57
서울특별시,도봉구,도봉제1동,20889,7921,9812,11629,13100,14372,37.92,46.97,55.67,62.71,68.80
서울특별시,도봉구,도봉제2동,26664,9175,11374,13520,15257,17137,34.41,42.66,50.71,57.22,64.27
서울특별시,도봉구,쌍문제1동,21343,6603,8381,10371,12010,13362,30.94,39.27,48.59,56.27,62.61
서울특별시,도봉구,쌍문제2동,18692,5717,7294,8949,10285,11606,30.59,39.02,47.88,55.02,62.09
서울특별시,도봉구,쌍문제3동,16728,4926,6317,7766,8960,10157,29.45,37.76,46.43,53.56,60.72
서울특별시,도봉구,쌍문제4동,18519,4812,6365,8154,9637,10939,25.98,34.37,44.03,52.04,59.07
서울특별시,도봉구,방학제1동,28581,8663,11228,13943,16121,17999,30.31,39.28,48.78,56.40,62.98
서울특별시,도봉구,방학제2동,19553,6400,8184,10122,11518,12742,32.73,41.86,51.77,58.91,65.17
서울특별시,도봉구,방학제3동,26884,7807,10056,12453,14603,16448,29.04,37.41,46.32,54.32,61.18
서울특별시,노원구,월계1동,21536,5993,7647,9414,11087,12622,27.83,35.51,43.71,51.48,58.61
서울특별시,노원구,월계2동,26390,8330,10481,12824,14847,16824,31.56,39.72,48.59,56.26,63.75
