시도명,시군구명,시군구별_total,현재,5년후,10년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율,
전라북도,전주시 덕진구,321348,69012,92222,119331,21.48,28.70,37.13,
전라북도,전주시 완산구,334531,82512,109442,139889,24.66,32.72,41.82,
전라북도,정읍시,106187,40878,49989,59056,38.50,47.08,55.62,
전라북도,진안군,24961,12088,14541,16488,48.43,58.25,66.06,
제주특별자치도,서귀포시,184195,52560,68125,85120,28.53,36.99,46.21,
제주특별자치도,제주시,493023,109373,147922,192731,22.18,30.00,39.09,
충청남도,계룡시,43419,8565,11628,15760,19.73,26.78,36.30,
충청남도,공주시,103214,39879,48954,57467,38.64,47.43,55.68,
충청남도,금산군,50290,22345,26989,31181,44.43,53.67,62.00,
충청남도,논산시,114043,43769,53436,62928,38.38,46.86,55.18,
충청남도,당진시,166971,46200,59074,72860,27.67,35.38,43.64,
충청남도,보령시,97959,37212,45541,53713,37.99,46.49,54.83,
충청남도,부여군,63324,30684,36048,40838,48.46,56.93,64.49,
충청남도,서산시,176452,48422,62092,77187,27.44,35.19,43.74,
충청남도,서천군,50597,25044,29331,33196,49.50,57.97,65.61,
충청남도,아산시,328576,66263,88401,115209,20.17,26.90,35.06,
충청남도,예산군,76443,34100,40739,46960,44.61,53.29,61.43,
충청남도,천안시 동남구,254934,60393,81064,103787,23.69,31.80,40.71,
충청남도,천안시 서북구,401768,60687,87830,121557,15.10,21.86,30.26,
충청남도,청양군,30547,15002,17743,19991,49.11,58.08,65.44,
충청남도,태안군,61437,27462,32943,37931,44.70,53.62,61.74,
충청남도,홍성군,99125,33562,41219,49191,33.86,41.58,49.63,
충청북도,괴산군,37323,18832,22833,25871,50.46,61.18,69.32,
충청북도,단양군,28128,13256,16133,18518,47.13,57.36,65.83,
충청북도,보은군,31800,15663,18801,21228,49.25,59.12,66.75,
충청북도,영동군,45536,20844,25174,28866,45.77,55.28,63.39,
충청북도,옥천군,49887,21543,26103,30243,43.18,52.32,60.62,
충청북도,음성군,92155,30762,39623,48143,33.38,43.00,52.24,
충청북도,제천시,132416,44916,56453,68246,33.92,42.63,51.54,
충청북도,증평군,36822,10041,12984,16149,27.27,35.26,43.86,
충청북도,진천군,85596,21448,28213,35394,25.06,32.96,41.35,
충청북도,청주시 상당구,194484,47384,63360,80735,24.36,32.58,41.51,
충청북도,청주시 서원구,192916,47577,63455,81340,24.66,32.89,42.16,
충청북도,청주시 청원구,194176,39750,52654,67499,20.47,27.12,34.76,
충청북도,청주시 흥덕구,267299,50571,70523,93560,18.92,26.38,35.00,
충청북도,충주시,208946,64348,82554,101144,30.80,39.51,48.41,
