시도명,시군구명,시군구별_total,현재,5년후,10년후,현재_고령인구비율,5년후_고령인구비율,10년후_고령인구비율
전라북도,군산시,264656,120014,142116,162574,45.35,53.70,61.43
전라북도,김제시,80806,48528,53787,58055,60.05,66.56,71.84
전라북도,남원시,79015,44416,50103,54417,56.21,63.41,68.87
전라북도,무주군,23745,14990,16527,17688,63.13,69.60,74.49
전라북도,부안군,50615,31646,34882,37418,62.52,68.92,73.93
전라북도,순창군,26689,16732,18459,19788,62.69,69.16,74.14
전라북도,완주군,91041,46108,52954,59324,50.65,58.17,65.16
전라북도,익산시,277151,131538,153269,171570,47.46,55.30,61.90
전라북도,임실군,26664,17639,19086,20249,66.15,71.58,75.94
전라북도,장수군,21645,13739,15060,16137,63.47,69.58,74.55
전라북도,전주시 덕진구,321348,119331,146426,173032,37.13,45.57,53.85
전라북도,전주시 완산구,334531,139889,167271,190945,41.82,50.00,57.08
전라북도,정읍시,106187,59056,66833,73025,55.62,62.94,68.77
전라북도,진안군,24961,16488,17949,19004,66.06,71.91,76.13
제주특별자치도,서귀포시,184195,85120,100465,114623,46.21,54.54,62.23
제주특별자치도,제주시,493023,192731,234508,274683,39.09,47.57,55.71
충청남도,계룡시,43419,15760,20211,24040,36.30,46.55,55.37
충청남도,공주시,103214,57467,64295,70286,55.68,62.29,68.10
충청남도,금산군,50290,31181,34449,37055,62.00,68.50,73.68
충청남도,논산시,114043,62928,70900,77443,55.18,62.17,67.91
충청남도,당진시,166971,72860,86244,100118,43.64,51.65,59.96
충청남도,보령시,97959,53713,60881,66957,54.83,62.15,68.35
충청남도,부여군,63324,40838,44618,47509,64.49,70.46,75.03
충청남도,서산시,176452,77187,91280,104990,43.74,51.73,59.50
충청남도,서천군,50597,33196,36224,38588,65.61,71.59,76.27
충청남도,아산시,328576,115209,143136,174717,35.06,43.56,53.17
충청남도,예산군,76443,46960,52057,55878,61.43,68.10,73.10
충청남도,천안시 동남구,254934,103787,125155,145496,40.71,49.09,57.07
충청남도,천안시 서북구,401768,121557,155003,191546,30.26,38.58,47.68
충청남도,청양군,30547,19991,21690,22916,65.44,71.01,75.02
충청남도,태안군,61437,37931,41946,45324,61.74,68.27,73.77
충청남도,홍성군,99125,49191,56620,63410,49.63,57.12,63.97
충청북도,괴산군,37323,25871,27926,29516,69.32,74.82,79.08
충청북도,단양군,28128,18518,20206,21520,65.83,71.84,76.51
충청북도,보은군,31800,21228,22957,24335,66.75,72.19,76.53
충청북도,영동군,45536,28866,31660,33767,63.39,69.53,74.15
충청북도,옥천군,49887,30243,33530,36245,60.62,67.21,72.65
충청북도,음성군,92155,48143,55255,61507,52.24,59.96,66.74
충청북도,제천시,132416,68246,77695,85787,51.54,58.67,64.79
충청북도,증평군,36822,16149,18977,21713,43.86,51.54,58.97
충청북도,진천군,85596,35394,42197,49319,41.35,49.30,57.62
충청북도,청주시 상당구,194484,80735,96590,111400,41.51,49.66,57.28
충청북도,청주시 서원구,192916,81340,97271,110842,42.16,50.42,57.46
충청북도,청주시 청원구,194176,67499,83166,100199,34.76,42.83,51.60
충청북도,청주시 흥덕구,267299,93560,115272,136958,35.00,43.12,51.24
충청북도,충주시,208946,101144,117038,131303,48.41,56.01,62.84
